"sample_id","Actinomycetaceae","Aerococcus","Aeromonas","Akkermansia","Alcaligenes faecalis et rel.","Allistipes et rel.","Anaerobiospirillum","Anaerofustis","Anaerostipes caccae et rel.","Anaerotruncus colihominis et rel.","Anaerovorax odorimutans et rel.","Aneurinibacillus","Aquabacterium","Asteroleplasma et rel.","Atopobium","Bacillus","Bacteroides fragilis et rel.","Bacteroides intestinalis et rel.","Bacteroides ovatus et rel.","Bacteroides plebeius et rel.","Bacteroides splachnicus et rel.","Bacteroides stercoris et rel.","Bacteroides uniformis et rel.","Bacteroides vulgatus et rel.","Bifidobacterium","Bilophila et rel.","Brachyspira","Bryantella formatexigens et rel.","Bulleidia moorei et rel.","Burkholderia","Butyrivibrio crossotus et rel.","Campylobacter","Catenibacterium mitsuokai et rel.","Clostridium (sensu stricto)","Clostridium cellulosi et rel.","Clostridium colinum et rel.","Clostridium difficile et rel.","Clostridium felsineum et rel.","Clostridium leptum et rel.","Clostridium nexile et rel.","Clostridium orbiscindens et rel.","Clostridium ramosum et rel.","Clostridium sphenoides et rel.","Clostridium stercorarium et rel.","Clostridium symbiosum et rel.","Clostridium thermocellum et rel.","Collinsella","Coprobacillus catenaformis et rel.","Coprococcus eutactus et rel.","Corynebacterium","Desulfovibrio et rel.","Dialister","Dorea formicigenerans et rel.","Eggerthella lenta et rel.","Enterobacter aerogenes et rel.","Enterococcus","Escherichia coli et rel.","Eubacterium biforme et rel.","Eubacterium cylindroides et rel.","Eubacterium hallii et rel.","Eubacterium limosum et rel.","Eubacterium rectale et rel.","Eubacterium siraeum et rel.","Eubacterium ventriosum et rel.","Faecalibacterium prausnitzii et rel.","Fusobacteria","Gemella","Granulicatella","Haemophilus","Helicobacter","Klebisiella pneumoniae et rel.","Lachnobacillus bovis et rel.","Lachnospira pectinoschiza et rel.","Lactobacillus catenaformis et rel.","Lactobacillus gasseri et rel.","Lactobacillus plantarum et rel.","Lactobacillus salivarius et rel.","Lactococcus","Leminorella","Megamonas hypermegale et rel.","Megasphaera elsdenii et rel.","Methylobacterium","Micrococcaceae","Mitsuokella multiacida et rel.","Moraxellaceae","Novosphingobium","Oceanospirillum","Oscillospira guillermondii et rel.","Outgrouping clostridium cluster XIVa","Oxalobacter formigenes et rel.","Papillibacter cinnamivorans et rel.","Parabacteroides distasonis et rel.","Peptococcus niger et rel.","Peptostreptococcus anaerobius et rel.","Peptostreptococcus micros et rel.","Phascolarctobacterium faecium et rel.","Prevotella melaninogenica et rel.","Prevotella oralis et rel.","Prevotella ruminicola et rel.","Prevotella tannerae et rel.","Propionibacterium","Proteus et rel.","Pseudomonas","Roseburia intestinalis et rel.","Ruminococcus bromii et rel.","Ruminococcus callidus et rel.","Ruminococcus gnavus et rel.","Ruminococcus lactaris et rel.","Ruminococcus obeum et rel.","Serratia","Sporobacter termitidis et rel.","Staphylococcus","Streptococcus bovis et rel.","Streptococcus intermedius et rel.","Streptococcus mitis et rel.","Subdoligranulum variable at rel.","Sutterella wadsworthia et rel.","Tannerella et rel.","Uncultured Bacteroidetes","Uncultured Chroococcales","Uncultured Clostridiales I","Uncultured Clostridiales II","Uncultured Mollicutes","Uncultured Selenomonadaceae","Veillonella","Vibrio","Weissella et rel.","Wissella et rel.","Xanthomonadaceae","Yersinia et rel."
"Sample-1",0,0,0,21,1,72,0,0,176,10,9,0,0,0,0,1,67,2,39,17,19,31,28,510,185,1,0,102,2,0,71,3,0,15,38,5,36,0,81,248,116,2,244,25,257,0,7,2,363,1,2,3,225,3,5,4,6,6,3,75,1,67,2,189,1336,4,0,0,0,2,3,44,223,0,6,9,1,1,0,1,18,0,0,1,0,0,2,82,467,2,108,17,1,0,2,10,18,6,1,19,1,4,0,56,3,143,174,4,1230,0,33,0,19,4,28,40,8,18,0,0,17,15,7,1,2,1,2,0,0,1
"Sample-2",0,0,0,36,1,127,0,0,108,48,10,0,0,0,0,1,32,2,46,23,27,14,25,303,129,1,0,80,2,0,99,3,0,49,253,6,69,0,110,169,209,2,195,15,164,0,5,5,456,1,3,69,209,3,6,3,7,8,2,38,1,36,4,79,1121,4,0,0,0,2,3,171,148,0,6,9,1,1,0,1,3,0,0,1,0,0,1,581,352,17,63,108,3,0,2,5,1742,377,3,13,1,3,0,24,55,56,42,158,425,0,233,0,73,3,26,445,8,22,0,0,298,170,69,0,2,2,1,0,0,1
"Sample-3",0,0,0,475,1,34,0,0,27,38,35,0,0,0,0,1,15,1,11,7,12,4,3,412,119,1,0,13,2,0,271,4,24,55,378,5,314,0,376,13,313,2,30,6,39,0,8,2,25,1,2,3,46,5,5,4,23,15,2,7,1,8,5,9,42,4,0,0,0,2,3,11,40,1,6,10,1,2,0,1,4,0,0,1,0,0,1,1992,14,37,15,26,6,0,2,6,15,5,0,11,1,4,0,3,850,16,19,3,88,0,358,0,9,2,6,39,11,11,0,0,157,37,42,0,1,2,1,0,0,1
"Sample-4",0,0,0,61,2,344,0,0,203,8,17,0,1,0,0,1,39,8,40,57,21,25,95,2015,107,1,0,103,2,0,102,4,1,14,34,79,12,0,35,121,162,3,317,15,272,0,8,8,913,1,2,6,273,3,7,3,9,53,2,69,1,41,2,48,764,4,0,0,0,2,3,81,155,0,6,9,1,1,0,1,16,0,0,1,0,0,1,420,168,22,263,29,2,0,2,5,11,7,1,46,1,4,0,22,96,90,50,12,2125,0,50,0,32,3,32,383,50,29,0,0,26,45,8,0,2,2,1,0,0,1
"Sample-5",0,0,0,34,1,50,0,0,232,21,31,0,0,0,0,1,8,0,10,5,10,3,2,54,142,1,0,67,2,0,137,4,1,15,146,34,26,0,48,318,274,3,250,29,172,0,12,10,1977,1,2,66,388,3,8,3,7,14,2,87,1,45,3,125,980,4,0,0,1,2,3,91,252,0,7,10,1,1,0,1,3,0,0,1,0,0,1,1028,734,3,65,13,2,0,2,5,54,9,0,3,1,4,0,21,41,129,32,30,2024,0,255,0,37,7,24,326,7,9,0,0,513,119,253,0,3,2,1,0,0,1
"Sample-6",0,0,0,14,1,57,0,0,166,15,6,0,0,0,0,1,329,3,555,51,30,35,136,1799,28,1,0,21,6,0,27,4,1,15,131,6,18,0,15,63,194,8,85,18,239,0,3,8,1210,1,2,3,267,3,6,3,7,2,10,23,1,69,2,13,299,4,0,0,0,2,3,12,84,0,6,9,1,1,0,1,3,0,0,1,0,0,1,167,55,2,60,43,2,0,2,33,12,9,1,42,1,4,0,19,15,18,102,9,976,0,36,0,25,3,10,41,10,28,0,0,18,16,8,0,5,2,1,0,0,1
"Sample-7",0,0,0,27,1,21,0,0,32,7,5,0,0,0,0,1,17,2,30,9,14,21,14,960,236,1,0,18,2,0,39,4,2,14,13,5,17,0,10,21,156,13,61,25,96,0,23,56,370,1,2,5,470,4,7,3,8,2,13,60,1,28,2,8,20,4,0,0,0,2,3,9,17,0,6,9,1,2,0,1,8,0,0,1,0,0,1,62,17,3,18,21,1,0,2,4,10,5,1,27,1,4,0,10,2,8,11,2,2115,0,23,0,49,6,31,374,15,18,0,0,17,15,7,0,1,2,1,0,0,1
"Sample-8",0,0,0,21,1,9,0,0,1032,11,14,0,0,0,0,1,6,0,5,3,8,5,0,28,166,1,0,26,2,0,31,3,1,21,101,6,18,0,153,87,589,5,67,46,128,0,4,6,376,1,2,2,861,5,11,6,38,2,11,1592,1,27,1,14,63,4,0,0,0,2,7,18,29,0,6,10,1,2,0,1,2,0,0,1,0,0,1,24,29,2,30,6,2,0,2,11,9,3,0,2,1,4,0,14,5,10,78,127,2246,4,55,0,65,6,25,189,5,5,0,0,16,15,7,0,1,2,1,0,0,1
"Sample-9",0,0,0,78,1,9,0,5,35,15,51,0,0,0,0,1,6,0,5,3,8,3,0,13,24,1,0,67,3,0,96,4,0,24,17,5,99,0,42,14,656,36,45,253,57,0,3,3,72,1,2,3,455,6,12,3,9,2,443,5,14,7,2,103,871,4,0,0,0,2,6,9,19,0,7,10,1,3,0,1,3,0,0,1,0,0,1,22,38,6,7,6,2,0,2,4,10,3,0,2,1,4,0,9,148,20,287,7,2304,0,21,0,114,7,45,58,5,5,0,0,17,16,8,0,2,2,1,0,0,2
"Sample-10",0,0,0,169,1,23,0,0,1309,10,31,0,0,0,0,1,29,1,24,14,13,8,17,931,321,1,0,19,2,0,194,4,1,17,68,7,32,0,53,128,72,10,23,13,83,0,6,39,185,1,2,4,105,5,10,3,7,3,3,188,1,30,13,30,2601,4,0,0,0,2,4,33,92,0,6,11,2,2,0,1,4,0,0,1,0,0,1,147,131,8,37,15,3,0,2,4,10,4,1,20,1,4,0,15,15,163,14,4,799,0,30,0,21,3,11,574,5,15,0,0,271,20,10,0,1,2,2,1,0,2
