"genus","phylum","family"
"Actinomycetaceae","Actinobacteria","Actinobacteria"
"Aerococcus","Firmicutes","Bacilli"
"Aeromonas","Proteobacteria","Proteobacteria"
"Akkermansia","Verrucomicrobia","Verrucomicrobia"
"Alcaligenes faecalis et rel.","Proteobacteria","Proteobacteria"
"Allistipes et rel.","Bacteroidetes","Bacteroidetes"
"Anaerobiospirillum","Proteobacteria","Proteobacteria"
"Anaerofustis","Firmicutes","Clostridium cluster XV"
"Anaerostipes caccae et rel.","Firmicutes","Clostridium cluster XIVa"
"Anaerotruncus colihominis et rel.","Firmicutes","Clostridium cluster IV"
"Anaerovorax odorimutans et rel.","Firmicutes","Clostridium cluster XI"
"Aneurinibacillus","Firmicutes","Bacilli"
"Aquabacterium","Proteobacteria","Proteobacteria"
"Asteroleplasma et rel.","Firmicutes","Asteroleplasma"
"Atopobium","Actinobacteria","Actinobacteria"
"Bacillus","Firmicutes","Bacilli"
"Bacteroides fragilis et rel.","Bacteroidetes","Bacteroidetes"
"Bacteroides intestinalis et rel.","Bacteroidetes","Bacteroidetes"
"Bacteroides ovatus et rel.","Bacteroidetes","Bacteroidetes"
"Bacteroides plebeius et rel.","Bacteroidetes","Bacteroidetes"
"Bacteroides splachnicus et rel.","Bacteroidetes","Bacteroidetes"
"Bacteroides stercoris et rel.","Bacteroidetes","Bacteroidetes"
"Bacteroides uniformis et rel.","Bacteroidetes","Bacteroidetes"
"Bacteroides vulgatus et rel.","Bacteroidetes","Bacteroidetes"
"Bifidobacterium","Actinobacteria","Actinobacteria"
"Bilophila et rel.","Proteobacteria","Proteobacteria"
"Brachyspira","Spirochaetes","Spirochaetes"
"Bryantella formatexigens et rel.","Firmicutes","Clostridium cluster XIVa"
"Bulleidia moorei et rel.","Firmicutes","Clostridium cluster XVI"
"Burkholderia","Proteobacteria","Proteobacteria"
"Butyrivibrio crossotus et rel.","Firmicutes","Clostridium cluster XIVa"
"Campylobacter","Proteobacteria","Proteobacteria"
"Catenibacterium mitsuokai et rel.","Firmicutes","Clostridium cluster XVII"
"Clostridium (sensu stricto)","Firmicutes","Clostridium cluster I"
"Clostridium cellulosi et rel.","Firmicutes","Clostridium cluster IV"
"Clostridium colinum et rel.","Firmicutes","Clostridium cluster XIVa"
"Clostridium difficile et rel.","Firmicutes","Clostridium cluster XI"
"Clostridium felsineum et rel.","Firmicutes","Clostridium cluster XI"
"Clostridium leptum et rel.","Firmicutes","Clostridium cluster IV"
"Clostridium nexile et rel.","Firmicutes","Clostridium cluster XIVa"
"Clostridium orbiscindens et rel.","Firmicutes","Clostridium cluster IV"
"Clostridium ramosum et rel.","Firmicutes","Clostridium cluster XVIII"
"Clostridium sphenoides et rel.","Firmicutes","Clostridium cluster XIVa"
"Clostridium stercorarium et rel.","Firmicutes","Clostridium cluster III"
"Clostridium symbiosum et rel.","Firmicutes","Clostridium cluster XIVa"
"Clostridium thermocellum et rel.","Firmicutes","Clostridium cluster III"
"Collinsella","Actinobacteria","Actinobacteria"
"Coprobacillus catenaformis et rel.","Firmicutes","Clostridium cluster XVIII"
"Coprococcus eutactus et rel.","Firmicutes","Clostridium cluster XIVa"
"Corynebacterium","Actinobacteria","Actinobacteria"
"Desulfovibrio et rel.","Proteobacteria","Proteobacteria"
"Dialister","Firmicutes","Clostridium cluster IX"
"Dorea formicigenerans et rel.","Firmicutes","Clostridium cluster XIVa"
"Eggerthella lenta et rel.","Actinobacteria","Actinobacteria"
"Enterobacter aerogenes et rel.","Proteobacteria","Proteobacteria"
"Enterococcus","Firmicutes","Bacilli"
"Escherichia coli et rel.","Proteobacteria","Proteobacteria"
"Eubacterium biforme et rel.","Firmicutes","Clostridium cluster XVI"
"Eubacterium cylindroides et rel.","Firmicutes","Clostridium cluster XVI"
"Eubacterium hallii et rel.","Firmicutes","Clostridium cluster XIVa"
"Eubacterium limosum et rel.","Firmicutes","Clostridium cluster XV"
"Eubacterium rectale et rel.","Firmicutes","Clostridium cluster XIVa"
"Eubacterium siraeum et rel.","Firmicutes","Clostridium cluster IV"
"Eubacterium ventriosum et rel.","Firmicutes","Clostridium cluster XIVa"
"Faecalibacterium prausnitzii et rel.","Firmicutes","Clostridium cluster IV"
"Fusobacteria","Fusobacteria","Fusobacteria"
"Gemella","Firmicutes","Bacilli"
"Granulicatella","Firmicutes","Bacilli"
"Haemophilus","Proteobacteria","Proteobacteria"
"Helicobacter","Proteobacteria","Proteobacteria"
"Klebisiella pneumoniae et rel.","Proteobacteria","Proteobacteria"
"Lachnobacillus bovis et rel.","Firmicutes","Clostridium cluster XIVa"
"Lachnospira pectinoschiza et rel.","Firmicutes","Clostridium cluster XIVa"
"Lactobacillus catenaformis et rel.","Firmicutes","Clostridium cluster XVII"
"Lactobacillus gasseri et rel.","Firmicutes","Bacilli"
"Lactobacillus plantarum et rel.","Firmicutes","Bacilli"
"Lactobacillus salivarius et rel.","Firmicutes","Bacilli"
"Lactococcus","Firmicutes","Bacilli"
"Leminorella","Proteobacteria","Proteobacteria"
"Megamonas hypermegale et rel.","Firmicutes","Clostridium cluster IX"
"Megasphaera elsdenii et rel.","Firmicutes","Clostridium cluster IX"
"Methylobacterium","Proteobacteria","Proteobacteria"
"Micrococcaceae","Actinobacteria","Actinobacteria"
"Mitsuokella multiacida et rel.","Firmicutes","Clostridium cluster IX"
"Moraxellaceae","Proteobacteria","Proteobacteria"
"Novosphingobium","Proteobacteria","Proteobacteria"
"Oceanospirillum","Proteobacteria","Proteobacteria"
"Oscillospira guillermondii et rel.","Firmicutes","Clostridium cluster IV"
"Outgrouping clostridium cluster XIVa","Firmicutes","Clostridium cluster XIVa"
"Oxalobacter formigenes et rel.","Proteobacteria","Proteobacteria"
"Papillibacter cinnamivorans et rel.","Firmicutes","Clostridium cluster IV"
"Parabacteroides distasonis et rel.","Bacteroidetes","Bacteroidetes"
"Peptococcus niger et rel.","Firmicutes","Clostridium cluster IX"
